Writing Image
Write-Pointer 2132672
Write-Pointer 2132704
Write-Pointer 2132736
Write-Pointer 2132768
Write-Pointer 2132800
Write-Pointer 2132832
Write-Pointer 2132864
Write-Pointer 2132896
Write-Pointer 2132928
Write-Pointer 2132960
Write-Pointer 2132992
Write-Pointer 2133024
Write-Pointer 2133056
Write-Pointer 2133088
Write-Pointer 2133120
Write-Pointer 2133152
Write-Pointer 2133184
Write-Pointer 2133216
Write-Pointer 2133248
Write-Pointer 2133280
Write-Pointer 2133312
Write-Pointer 2133344
Write-Pointer 2133376
Write-Pointer 2133408
Write-Pointer 2133440
Write-Pointer 2133472
Write-Pointer 2133504
Write-Pointer 2133536
Write-Pointer 2133568
Write-Pointer 2133600
Write-Pointer 2133632
Write-Pointer 2133664
Write-Pointer 2133696
Write-Pointer 2133728
Write-Pointer 2133760
Write-Pointer 2133792
Write-Pointer 2133824
Write-Pointer 2133856
Write-Pointer 2133888
Write-Pointer 2133920
Write-Pointer 2133952
Write-Pointer 2133984
Write-Pointer 2134016
Write-Pointer 2134048
Write-Pointer 2134080
Write-Pointer 2134112
Write-Pointer 2134144
Write-Pointer 2134176
Write-Pointer 2134208
Write-Pointer 2134240
Write-Pointer 2134272
Write-Pointer 2134304
